Country_Name,Country_Code,2008,2009,2010,2011
Libya,LBY,87140405361.0,63028320702.0,74773444901.0,34699395524.0
St. Lucia,LCA,1286720333.0,1278745519.0,1399203481.0,1444269667.0
Latin America & Caribbean,LCN,4588440000000.0,4312110000000.0,5347160000000.0,6080010000000.0
Least developed countries: UN classification,LDC,587171000000.0,585597000000.0,672657000000.0,772121000000.0
Low income,LIC,327078000000.0,335063000000.0,368434000000.0,412389000000.0
Liechtenstein,LIE,5081432924.0,4504549214.0,5082366478.0,5739977477.0
Sri Lanka,LKA,40713812310.0,42066217872.0,56725749222.0,65292753005.0
Lower middle income,LMC,3560010000000.0,3645470000000.0,4462020000000.0,5039220000000.0
Low & middle income,LMY,17468100000000.0,17053400000000.0,20688600000000.0,24427600000000.0
Lesotho,LSO,1758534995.0,1773199523.0,2361613520.0,2787951881.0
Late-demographic dividend,LTE,11650700000000.0,11259800000000.0,13503800000000.0,16461200000000.0
Lithuania,LTU,47850551149.0,37440673478.0,37120517694.0,43476873413.0
Luxembourg,LUX,55849686539.0,51370543206.0,53212476812.0,60004630234.0
Latvia,LVA,35596016664.0,26169854045.0,23757368290.0,28223552825.0
"Macao SAR, China",MAC,20917444920.0,21475520709.0,28123640999.0,36709860068.0
Morocco,MAR,92507257784.0,92897320376.0,93216746662.0,101370000000.0
Monaco,MCO,6476490406.0,5451653237.0,5362649007.0,6080344732.0
Moldova,MDA,6054806101.0,5439422031.0,6974960345.0,8414360656.0
Madagascar,MDG,9413002921.0,8550363975.0,8729936136.0,9892702358.0
Maldives,MDV,2271646188.0,2345294875.0,2588176055.0,2774351760.0
Middle East & North Africa,MEA,2648080000000.0,2368420000000.0,2768120000000.0,3282330000000.0
Mexico,MEX,1109990000000.0,900045000000.0,1057800000000.0,1180490000000.0
Marshall Islands,MHL,152788700.0,152617500.0,164969100.0,173260300.0
Middle income,MIC,17143100000000.0,16723600000000.0,20318700000000.0,24008800000000.0
North Macedonia,MKD,9909548411.0,9401731496.0,9407168702.0,10494632699.0
Mali,MLI,9750822511.0,10181021770.0,10678749467.0,12978107561.0
Malta,MLT,8977149553.0,8528202278.0,8741059603.0,9500669015.0
Myanmar,MMR,31862554102.0,36906181381.0,49540813342.0,59977326086.0
